public_ip,mode,block_number,block_hash,tx_number,action_type,process_time,delay_time,tps
47.239.100.174,scalability,1,abbdb161dea8a26f673643474d630d78030e4beeb6bd033cc57e83f94df00379,100000,BlkGenerator,196,0,509403.5902765043
47.239.100.174,scalability,1,abbdb161dea8a26f673643474d630d78030e4beeb6bd033cc57e83f94df00379,100000,BlkAdder,0,0,0
47.239.100.174,scalability,2,8c58aee1e1e590a0be36d3fd0c09dbe05a57d0dd617ab2988ca90397ddde6ba1,100000,BlkGenerator,249,0,400211.3115725103
47.239.100.174,scalability,2,8c58aee1e1e590a0be36d3fd0c09dbe05a57d0dd617ab2988ca90397ddde6ba1,100000,BlkAdder,0,0,0
47.239.100.174,scalability,3,56564a13765efe4f97e2cba1e59efd7b8f70467163835097d0afbbdfddfe4fdb,100000,BlkGenerator,184,0,543150.5993666864
47.239.100.174,scalability,3,56564a13765efe4f97e2cba1e59efd7b8f70467163835097d0afbbdfddfe4fdb,100000,BlkAdder,0,0,0
47.239.100.174,scalability,4,e2167dcb25b2918eeb1c363d6fc14641577e48acb9df21f109ed8915aacf033c,100000,BlkGenerator,172,0,579223.261606186
47.239.100.174,scalability,4,e2167dcb25b2918eeb1c363d6fc14641577e48acb9df21f109ed8915aacf033c,100000,BlkAdder,0,0,0
47.239.100.174,scalability,5,06d99f964120243a489b459f326aa9b7afc8f7a323bd52f8c3d57b603fa88b07,100000,BlkGenerator,180,0,554191.6283812617
47.239.100.174,scalability,5,06d99f964120243a489b459f326aa9b7afc8f7a323bd52f8c3d57b603fa88b07,100000,BlkAdder,0,0,0
47.239.100.174,scalability,6,9ffb53249790d3771c5df3902619b99322f0470a648b7603fbde348f31e74c4b,100000,BlkGenerator,181,0,550136.7089721796
47.239.100.174,scalability,6,9ffb53249790d3771c5df3902619b99322f0470a648b7603fbde348f31e74c4b,100000,BlkAdder,0,0,0
47.239.100.174,scalability,7,3546109653c841c86adaf9adcaf1ccb3865aa70a758d6d51835c6477cfb4673e,100000,BlkGenerator,169,0,590862.8961735719
47.239.100.174,scalability,7,3546109653c841c86adaf9adcaf1ccb3865aa70a758d6d51835c6477cfb4673e,100000,BlkAdder,0,0,0
47.239.100.174,scalability,8,bbb320f773fe9a71f8ba3bc7286bcd89279fe55be7f88603270d1e33d1716b6b,100000,BlkGenerator,186,0,537108.8504796381
47.239.100.174,scalability,8,bbb320f773fe9a71f8ba3bc7286bcd89279fe55be7f88603270d1e33d1716b6b,100000,BlkAdder,0,0,0
